datetime,Count
,7091
01/01,2
01/03,2
01/04,3
01/05,9
01/06,13
01/07,11
01/08,24
01/09,18
01/10,2
01/11,3
01/12,1
01/13,6
01/14,9
01/15,8
01/16,32
01/17,21
01/18,16
01/19,20
01/20,50
01/21,200
01/22,245
01/23,122
01/24,226
01/25,164
01/26,175
01/27,168
01/28,194
01/29,138
01/30,183
01/31,233
02/01,306
02/02,159
02/03,210
02/04,273
02/05,457
02/06,423
02/07,298
02/08,238
02/09,187
02/10,212
02/11,298
02/12,240
02/13,284
02/14,336
02/15,265
02/16,467
02/17,324
02/18,294
02/19,302
02/20,407
02/21,347
02/22,340
02/23,510
02/24,441
02/25,378
02/26,292
02/27,332
02/28,301
02/29,328
03/01,210
03/02,208
03/03,166
03/04,165
03/05,168
03/06,179
03/07,173
03/08,141
03/09,137
03/10,123
03/11,143
03/12,194
03/13,140
03/14,198
03/15,298
03/16,617
03/17,740
03/18,620
03/19,463
03/20,469
03/21,296
03/22,279
03/23,247
03/24,226
03/25,161
03/26,181
03/27,159
03/28,151
03/29,157
03/30,201
03/31,198
04/01,112
04/02,140
04/03,132
04/04,147
04/05,142
04/06,142
04/07,114
04/08,114
04/09,97
04/10,97
04/11,100
04/12,67
04/13,86
04/14,85
04/15,78
04/16,62
04/17,86
04/18,53
04/19,82
04/20,76
04/21,84
04/22,83
04/23,60
04/24,76
04/25,40
04/26,54
04/27,66
04/28,83
04/29,67
04/30,64
