來源網站,來源網站
Ptt > Gossiping,5760
Ptt > nCoV2019,1583
Ptt > HatePolitics,1138
捷克論壇 > 新聞版,587
卡提諾王國 > 時事,549
校園聊天-Dcard > 武漢肺炎,501
Ptt > Stock,409
校園聊天-Dcard > 時事,371
Ptt > IA,301
Facebook粉絲團 > 民視新聞,234
Instagram > Instagram關鍵字搜尋,215
卡提諾王國 > 政治,205
Facebook粉絲團 > 台視新聞台,171
校園聊天-Dcard > 旅遊,158
Facebook粉絲團 > 自由時報,157
Ptt > Aviation,149
Facebook粉絲團 > 中時新聞網,135
校園聊天-Dcard > 心情,135
Ptt > Japan_Travel,132
Ptt > BaseballNEWS,131
Facebook粉絲團 > 東森新聞,126
捷克論壇 > 理財版 ,118
Facebook粉絲團 > NOWnews 今日新聞,114
Facebook粉絲團 > 經濟日報,109
Facebook粉絲團 > 三立新聞,108
Instagram > 台灣蘋果日報,107
Facebook粉絲團 > 蘋果即時新聞,100
Ptt > AllTogether,98
Ptt > CrossStrait,96
Ptt > Tainan,95
Facebook粉絲團 > Rti 中央廣播電臺,92
Facebook粉絲團 > 工商時報,90
Facebook粉絲團 > 公視新聞網 PNN,85
Facebook粉絲團 > TVBS 新聞,84
伊莉討論區 > 時事討論(時事經濟),81
Facebook粉絲團 > udn.com 聯合新聞網,80
Ptt > WomenTalk,80
Facebook粉絲團 > 東森財經,78
Facebook粉絲團 > 華視新聞,78
Facebook公開社團 > 《藍天行動聯盟》,74
Facebook粉絲團 > 景點家,72
Facebook粉絲團 > 聯合報,72
Facebook粉絲團 > 公民聯盟,69
Facebook粉絲團 > 鏡週刊,68
Facebook粉絲團 > ETtoday旅遊雲,66
卡提諾王國 > 奇人軼事,61
Facebook粉絲團 > Yahoo!奇摩新聞,60
Facebook公開社團 > 台灣第一位女總統！小英粉絲團,59
Facebook粉絲團 > udn走跳世界,57
Facebook粉絲團 > 快點TV,56
卡提諾王國 > 追星,55
Ptt > Korea_Travel,54
Facebook粉絲團 > 上報,51
Facebook粉絲團 > 中央社新聞粉絲團,50
Ptt > Kaohsiung,50
Ptt > travel,50
Ptt > TaichungBun,49
Ptt > Wanted,49
Ptt > Baseball,48
Facebook粉絲團 > 蘋果新聞網,47
Facebook粉絲團 > ETtoday健康雲,46
Facebook粉絲團 > Newtalk新聞,46
Ptt > Tech_Job,46
Facebook粉絲團 > TVBS 少康戰情室,45
校園聊天-Dcard > 感情,44
Ptt > Marginalman,43
Facebook粉絲團 > 民報,41
卡提諾王國 > 閒聊,41
Facebook粉絲團 > The News Lens 關鍵評論網,40
Ptt > EuropeTravel,40
Ptt > HelpBuy,40
Ptt > Salary,40
Facebook粉絲團 > 101 機票旅館促銷情報,39
Facebook粉絲團 > 衛生福利部,39
Facebook粉絲團 > PassionTimes 熱血時報,37
Facebook粉絲團 > 今周刊,37
Ptt > Thailand,36
Facebook粉絲團 > 放言 Fount Media,35
Facebook粉絲團 > 風傳媒,35
Facebook粉絲團 > 玩咖,34
Ptt > Diary,34
Facebook粉絲團 > Yahoo奇摩旅遊,33
校園聊天-Dcard > 廢文,33
Ptt > Hate,32
校園聊天-Dcard > 閒聊,31
Ptt > PingTung,30
Facebook粉絲團 > ETtoday新聞雲,28
Facebook粉絲團 > 靠北旅遊業,28
Facebook粉絲團 > 請民進黨還給中華民國一個公平正義,27
Facebook粉絲團 > 光明日報 Guang Ming Daily,25
Facebook粉絲團 > 香港01,25
Ptt > C_Chat,25
Ptt > home-sale,25
Facebook公開社團 > 朴子民意觀察站,24
Ptt > BabyMother,24
Ptt > ChangHua,24
Facebook公開社團 > 自助旅行背包客旅遊部落格分享,23
Ptt > Hotel,23
Facebook粉絲團 > 疾病管制署 - 1922防疫達人,22
Facebook粉絲團 > 聯合大社會,22
Ptt > WorkinChina,22
Facebook公開社團 > 澎湖大聯盟,21
Facebook粉絲團 > Stand News 立場新聞,21
Facebook粉絲團 > 巨報,21
Facebook粉絲團 > 新新聞周刊,21
Facebook粉絲團 > 韓國瑜,21
Facebook關鍵意見領袖 > Tunkan Tansikian,21
Facebook粉絲團 > CNEWS 匯流新聞網,20
Facebook粉絲團 > DailyView 網路溫度計,20
Ptt > Badminton,20
Ptt > Railway,20
Facebook公開社團 > 日台交流?場（台??日本）,19
Facebook公開社團 > 自助環遊世界中毒者,19
Facebook粉絲團 > 中天新聞52家族,19
Facebook粉絲團 > 大紀元時報 - 台灣(The Epoch Times - Taiwan),19
Facebook粉絲團 > 新聞龍捲風,19
Ptt > Cruise,19
Ptt > MACAU,19
Ptt > Vietnam,19
Ptt > sex,19
Facebook公開社團 > 台北市長~姚文智~網路後援會,18
Facebook粉絲團 > 一百五,18
Facebook粉絲團 > 信傳媒,18
Ptt > Ind-travel,18
Ptt > Tour-Agency,18
校園聊天-Dcard > 工作,18
Facebook公開社團 > PTT世界自助旅行版(Ind-Travel),17
Facebook粉絲團 > 噓！星聞,17
Facebook粉絲團 > 壹電視 Next TV,17
Facebook粉絲團 > 新唐人亞太電視台,17
校園聊天-Dcard > 留學,17
Facebook粉絲團 > Dcard,16
Ptt > medstudent,16
Facebook公開社團 > 台灣公民爆料公社,15
Facebook公開社團 > 敦促賴清德建立優良傳統臺灣國,15
Facebook粉絲團 > ETtoday分享雲,15
Facebook粉絲團 > 中視新聞,15
Facebook粉絲團 > 即新聞,15
Facebook粉絲團 > 大紀元 epochtimes.com,15
Facebook粉絲團 > 好房網News,15
Facebook粉絲團 > 彰化房市通,15
Facebook粉絲團 > 沃草 Watchout,15
Facebook粉絲團 > 關鍵時刻,15
Ptt > KoreaStar,15
Ptt > PublicServan,15
校園聊天-Dcard > 彩虹,15
Facebook粉絲團 > 年代新聞,14
Facebook粉絲團 > 肯腦濕的人生相談室,14
Ptt > Insurance,14
Facebook公開社團 > 台東大小事(109年),13
Facebook公開社團 > 大台南新聞論壇,13
Facebook粉絲團 > MedPartner 美的好朋友,13
Facebook粉絲團 > 南島觀史-福爾摩沙 Formosa,13
Facebook粉絲團 > 小薰的家,13
Facebook粉絲團 > 小郵票‧大世界 Stamps of the World,13
Facebook粉絲團 > 新北旅客,13
Facebook粉絲團 > 欣攝影xin Photo,13
Facebook粉絲團 > 美麗島電子報,13
Ptt > GossipPicket,13
Ptt > Hsinchu,13
Ptt > Hualien,13
Ptt > MRT,13
Ptt > MobileComm,13
Ptt > Points,13
Ptt > basketballTW,13
Facebook粉絲團 > Ing.TV（蔡英文）,12
Facebook粉絲團 > niusnews 妞新聞,12
Facebook粉絲團 > 只是堵藍,12
Facebook粉絲團 > 廉價機票福利社,12
Facebook粉絲團 > 手機GoGo,12
Facebook粉絲團 > 時尚科技客,12
Ptt > Food,12
Ptt > NTU,12
Ptt > ShuangHe,12
伊莉討論區 > 吹水聊天,12
Facebook公開社團 > 埔里人通通+進來,11
Facebook公開社團 > 陳其邁立委 後援會,11
Facebook粉絲團 > Icu醫生陳志金,11
Facebook粉絲團 > T客邦的臉書基地,11
Facebook粉絲團 > Yahoo奇摩股市理財,11
Facebook粉絲團 > 壹週刊寶庫,11
Facebook粉絲團 > 微博台灣,11
Facebook粉絲團 > 旅行臺灣－交通部觀光局,11
Facebook粉絲團 > 早安健康,11
Facebook粉絲團 > 非凡電視台,11
Facebook粉絲團 > 靠北護理師,11
Ptt > Militarylife,11
Ptt > Nantou,11
Ptt > Tai-travel,11
Ptt > lesbian,11
Ptt > movie,11
伊莉討論區 > 明星新聞追(影視娛樂),11
校園聊天-Dcard > 有趣,11
Facebook公開社團 > 爆吱戰堂,10
Facebook公開社團 > 花壇人俱樂部,10
Facebook粉絲團 > CTWant,10
Facebook粉絲團 > 南天地方新聞,10
Facebook粉絲團 > 小斯,10
Ptt > Aussiekiwi,10
Ptt > Chiayi,10
Ptt > Philippines,10
Ptt > Taoyuan,10
Facebook粉絲團 > Taiwan 我來了,9
Facebook粉絲團 > 三立iNEWS,9
Facebook粉絲團 > 南台灣。旅行趣,9
Facebook粉絲團 > 娛樂蘋果派,9
Facebook粉絲團 > 我是中壢人,9
Facebook粉絲團 > 明報即時新聞,9
Facebook粉絲團 > 移民署粉絲團 - NIA,9
Facebook粉絲團 > 自由時報評論網,9
Facebook粉絲團 > 蘇貞昌,9
Ptt > Football,9
Ptt > I-Lan,9
Ptt > Keelung,9
Ptt > Tennis,9
Ptt > cookclub,9
Ptt > graduate,9
Ptt > isLandTravel,9
校園聊天-Dcard > 美妝,9
Facebook公開社團 > 中華民國後援會,8
Facebook公開社團 > 嘉義綠豆大小事,8
Facebook公開社團 > 我愛大甲 2,8
Facebook公開社團 > 村長 全國粉絲團2,8
Facebook粉絲團 > GQ Taiwan,8
Facebook粉絲團 > MSN 新聞,8
Facebook粉絲團 > 中時娛樂,8
Facebook粉絲團 > 健康2.0,8
Facebook粉絲團 > 元氣網,8
Facebook粉絲團 > 商業周刊（商周.com）,8
Facebook粉絲團 > 大陸委員會,8
Facebook粉絲團 > 天下雜誌,8
Facebook粉絲團 > 康健雜誌,8
Facebook粉絲團 > 彰化人彰化事,8
Facebook粉絲團 > 日本人?日本旅遊指南,8
Facebook粉絲團 > 林佳龍,8
Facebook粉絲團 > 生活市集,8
Facebook粉絲團 > 鄉民晚報,8
Facebook粉絲團 > 風生活,8
Instagram > ETtoday新聞雲,8
Ptt > Bus,8
Ptt > NBA,8
Ptt > Soft_Job,8
伊莉討論區 > 外幣投資(時事經濟),8
卡提諾王國 > 靠北,8
Facebook公眾訊息 > FbHashtag,7
Facebook公開社團 > 彭文正李晶玉 轉型正義聯盟 臺灣成真,7
Facebook公開社團 > 韓國瑜穿雲鐵柱後援會,7
Facebook粉絲團 > BuzzOrange 報橘,7
Facebook粉絲團 > Yahoo奇摩購物中心,7
Facebook粉絲團 > 中華民國消費者文教基金會,7
Facebook粉絲團 > 人間衛視,7
Facebook粉絲團 > 反對「廢除死刑」粉絲團,7
Facebook粉絲團 > 工作求職賺錢資訊網,7
Facebook粉絲團 > 我是台灣人．台灣是咱的國家,7
Facebook粉絲團 > 我是蘆洲人,7
Facebook粉絲團 > 新聞時事與熱門話題,7
Facebook粉絲團 > 日本自助旅遊中毒者,7
Facebook粉絲團 > 東網台灣,7
Facebook粉絲團 > 游淑慧 港湖加游,7
Facebook粉絲團 > 獨立特派員,7
Facebook粉絲團 > 王定宇,7
Facebook粉絲團 > 華人健康網,7
Ptt > BigSanchung,7
Ptt > FAPL,7
Ptt > Road_Running,7
Ptt > Teacher,7
校園聊天-Dcard > 女孩,7
校園聊天-Dcard > 星座,7
Facebook公開社團 > 全台旅遊/景點/美食/3C產品/美妝都歡迎來加入,6
Facebook公開社團 > 台南爆料公社,6
Facebook粉絲團 > 7號列車【Purple Trains】,6
Facebook粉絲團 > A Nan MOSTA  阿男醫師?磨思塔,6
Facebook粉絲團 > Just.崩潰.ME - 台日航線廉價航空 LCC 歷史票價查詢網,6
Facebook粉絲團 > Miss.2340,6
Facebook粉絲團 > PTT Gossiping 批踢踢八卦板,6
Facebook粉絲團 > Tnn滔新聞,6
Facebook粉絲團 > UCF 華美航運,6
Facebook粉絲團 > ifans 愛瘋生活,6
Facebook粉絲團 > 卡優新聞網,6
Facebook粉絲團 > 大玩台中-臺中觀光旅遊局,6
Facebook粉絲團 > 抓到了！這梗很綠,6
Facebook粉絲團 > 政變後的寧靜夏午,6
Facebook粉絲團 > 旅遊資訊粉絲團 Traveling,6
Facebook粉絲團 > 東北角之友,6
Facebook粉絲團 > 東南旅遊,6
Facebook粉絲團 > 舒翠玲,6
Facebook粉絲團 > 良醫健康網,6
Facebook粉絲團 > 那一年我們在曼谷 - 曼谷幫,6
Facebook粉絲團 > 鄉民八卦版,6
Facebook粉絲團 > 鄉民實業坊,6
Facebook粉絲團 > 鐵道新世界購物網,6
Facebook粉絲團 > 音樂政治上班族,6
Facebook關鍵意見領袖 > 蔡漢勳,6
Ptt > Boy-Girl,6
Ptt > FORMULA1,6
Ptt > Finance,6
Ptt > GetMarry,6
Ptt > Taipei,6
Ptt > e-shopping,6
Ptt > joke,6
Ptt > tax,6
Ptt > worldbasket,6
校園聊天-Dcard > 汽機車,6
Facebook公開社團 > ●【爆系知識家】●,5
Facebook公開社團 > 屏東人ㄟ新聞,5
Facebook粉絲團 > ELLE Taiwan,5
Facebook粉絲團 > PopDaily 波波黛莉的異想世界,5
Facebook粉絲團 > PopTour 波波打卡,5
Facebook粉絲團 > TVBS T觀點,5
Facebook粉絲團 > Trip+,5
Facebook粉絲團 > eNews 網路新聞快遞,5
Facebook粉絲團 > udnSTYLE,5
Facebook粉絲團 > 上曜建設,5
Facebook粉絲團 > 南投新聞,5
Facebook粉絲團 > 南投縣政府,5
Facebook粉絲團 > 台中市衛生局-健康小衛星,5
Facebook粉絲團 > 台灣空姐姍姍的旅遊和廣東話閒聊,5
Facebook粉絲團 > 四季線上4gtv,5
Facebook粉絲團 > 多維TW,5
Facebook粉絲團 > 大愛全球新聞,5
Facebook粉絲團 > 工頭堅。旅行長,5
Facebook粉絲團 > 愛旅行-PayEasy,5
