Rank,index,Sum of sales,Sum of MSRP,prod_Q,Sales_Rank
1,機車/部品,11805950.0,12630681.0,248,Valuable index
2,預購,10518617.0,18427403.0,811,Valuable index
3,筆記電腦,7964847.0,8854817.0,253,Valuable index
4,音響劇院,6997385.0,7311803.0,119,Valuable index
5,傢俱,6681077.0,16382991.0,2282,Valuable index
6,智慧手機,5517482.0,6027506.0,293,Valuable index
7,瑞士錶,4511392.0,5168250.0,65,Valuable index
8,黃金,3174544.0,3266866.0,126,Valuable index
9, 液晶電視,3172278.0,9129278.0,168,Valuable index
10,燈飾,2547757.0,2724956.0,567,Valuable index
11,南紡3C,1939888.0,2860042.0,332,Valuable index
12,數位相機,1874320.0,2248715.0,78,Valuable index
13,DIY,1825846.0,1825846.0,274,Valuable index
14,按摩椅/舒壓 ,1712306.0,4381289.0,339,Valuable index
15,液晶電視,1634614.0,2369344.0,95,Valuable index
16, 冰箱,1554801.0,2236033.0,87,Valuable index
17,下載,1492896.0,1525725.0,1718,Valuable index
18,南紡家電,1455655.0,1821534.0,186,Valuable index
19, 廚房家電,1414375.0,2550179.0,396,Valuable index
20,票券,1404571.0,1490590.0,304,Valuable index
21,電器嚴選,1166108.0,2811570.0,167,Valuable index
22,電器商城,1140569.0,1146909.0,84,Valuable index
23,三井3C,1080630.0,1419570.0,366,Valuable index
24,衛浴,905104.0,1479166.0,373,Valuable index
25,健身/按摩槍,898013.0,2276360.0,187,Valuable index
26,  洗/乾衣機,868360.0,1352236.0,97,Valuable index
27,行李箱,830514.0,2338989.0,302,Valuable index
28,床墊,797814.0,2833146.0,205,Valuable index
29, 吸塵器,751149.0,1309581.0,136,Valuable index
30,餐廚,744769.0,1807680.0,473,Valuable index
31,收納,734026.0,1786335.0,925,Valuable index
32,列 印,705427.0,798895.0,263,Valuable index
